0,7,0
1,6,0
2,4,6
3,0,1
4,4,0
5,3,3
6,9,2
7,3,3
8,3,1
9,8,0
10,5,7
11,2,5
12,0,2
13,1,0
14,10,0
15,4,10
16,2,2
17,10,2
18,1,10
19,6,0
20,8,3
21,0,2
22,9,0
23,9,1
24,2,6
25,9,0
26,2,9
27,0,0
28,1,0
29,9,1
30,10,5
31,7,4
32,4,0
33,5,4
34,9,1
35,1,1
36,4,0
37,5,0
38,4,0
39,6,1
40,0,5
41,9,0
42,6,7
43,6,2
44,8,5
45,8,3
46,1,5
47,2,1
48,6,1
49,0,6
50,0,0
51,0,0
52,8,0
53,9,8
54,8,2
55,1,1
56,6,1
57,7,2
58,7,1
59,9,4
60,6,0
61,0,4
62,8,0
63,1,6
64,1,1
65,7,1
66,9,7
67,0,7
68,1,0
69,0,0
70,7,0
71,10,1
72,6,0
73,3,5
74,0,1
75,4,0
76,2,3
77,8,1
78,0,4
79,10,0
80,8,3
81,0,8
82,7,0
83,5,1
84,8,4
85,10,7
86,10,10
87,9,5
88,8,1
89,7,6
90,5,4
91,3,0
92,1,2
93,8,0
94,3,3
95,8,3
96,1,2
97,4,0
98,5,0
99,2,3
100,8,0
101,6,3
102,3,1
103,9,2
104,0,1
105,8,0
106,4,6
107,9,1
108,7,0
109,1,6
110,1,0
111,3,1
112,3,2
113,3,2
114,3,0
115,5,2
116,3,3
117,1,0
118,10,1
119,4,7
120,2,2
121,10,1
122,4,8
123,4,0
124,3,0
125,2,3
126,8,0
127,6,2
128,3,5
129,1,0
130,3,0
131,8,1
132,10,5
133,3,10
134,6,2
135,0,2
136,10,0
137,8,10
138,0,1
139,1,0
140,8,1
141,4,1
142,8,1
143,3,2
144,9,0
145,4,5
146,4,0
147,3,4
148,9,1
149,4,0
150,9,2
151,6,0
152,2,3
153,5,2
154,2,2
155,10,2
156,9,10
157,8,5
158,7,7
159,9,1
160,9,3
161,0,7
162,5,0
163,3,1
164,0,1
165,9,0
166,3,8
167,4,3
168,2,3
169,6,1
170,6,5
171,0,2
172,9,0
173,5,4
174,9,0
175,10,1
176,10,9
177,8,5
178,9,4
179,4,2
180,7,2
181,7,7
182,5,1
183,4,4
184,10,2
185,8,5
186,2,5
187,2,1
188,8,0
189,0,3
190,0,0
191,8,0
192,8,5
193,6,2
194,3,5
195,2,3
196,9,0
197,6,2
198,0,0
199,10,0
200,9,5
201,7,1
202,1,1
203,5,1
204,9,1
205,6,4
206,3,5
207,5,2
208,10,1
209,1,2
210,1,0
211,0,1
212,5,0
213,10,4
214,8,5
215,6,7
216,1,0
217,0,0
218,10,0
219,6,0
220,8,4
221,2,3
222,4,2
223,8,2
224,2,1
225,1,1
226,10,1
227,4,6
228,6,3
229,4,4
230,10,3
231,9,1
232,4,7
233,2,2
234,10,1
235,3,8
236,2,3
237,4,2
